Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
2020,5.8,56.0,1,0,0,0
2010,7.8,52.0,0,1,0,0
2019,7.7,41.0,1,0,0,0
1996,8.0,41.0,0,0,1,0
2014,6.3,44.0,1,0,0,0
2021,6.5,63.0,0,1,0,0
2017,8.0,63.0,1,0,0,0
2016,5.8,14.0,0,0,1,0
2019,7.5,73.0,1,0,0,0
2014,7.4,60.0,0,1,0,0
1947,7.3,18.0,0,0,1,0
2017,7.3,67.0,0,0,1,0
2017,7.2,51.0,0,1,0,0
2019,6.5,42.0,0,1,0,0
2017,6.9,48.0,0,0,1,0
2010,8.7,56.0,0,0,1,0
2018,6.9,51.0,1,0,0,0
2014,7.7,72.0,0,0,1,0
2016,7.8,63.0,0,0,1,0
1988,8.3,72.0,0,1,0,0
2010,8.1,46.0,0,0,0,1
2019,7.2,67.0,1,1,0,0
2020,6.1,60.0,1,0,0,0
2012,8.6,46.0,0,0,1,0
2014,5.1,25.0,0,0,1,0
2018,4.8,36.0,1,0,0,0
2019,7.7,60.0,1,0,0,0
2020,2.7,31.0,1,0,0,0
