Year,IMDb,Rotten_Tomatoes,Netflix,Hulu,Prime Video,Disney+
7,7.5,67.0,1,0,0,0
6,7.4,21.0,1,0,0,0
6,7.0,49.0,0,0,1,0
4,7.3,38.0,1,0,0,0
18,7.3,35.0,0,0,1,0
10,6.9,57.0,1,0,0,0
19,7.7,69.0,0,1,0,0
4,7.5,67.0,0,1,0,0
11,6.9,16.0,0,1,0,0
2,7.4,59.0,1,0,0,0
3,7.5,74.0,1,0,1,0
6,7.7,57.0,1,0,0,0
11,8.3,73.0,1,0,0,0
18,8.8,90.0,0,1,0,0
2,8.6,74.0,1,0,0,0
6,7.9,52.0,1,1,0,0
17,6.0,35.0,1,0,0,0
9,7.2,44.0,1,0,0,0
3,9.1,86.0,1,0,0,0
4,5.4,56.0,0,1,0,0
9,7.4,10.0,0,0,1,0
13,7.5,42.0,1,0,0,0
5,7.5,14.0,0,0,1,0
22,8.5,84.0,0,1,1,0
5,7.2,45.0,1,0,0,0
7,8.1,45.0,1,0,0,0
21,7.6,14.0,0,0,1,0
8,5.9,40.0,0,0,1,0
7,6.0,43.0,1,0,0,0
12,8.7,44.0,0,0,1,0
23,7.4,41.0,0,1,0,0
3,6.5,40.0,0,1,0,0
4,7.7,47.0,1,0,0,0
4,7.3,52.0,1,0,0,0
70,7.1,38.0,0,0,1,0
